Order,Level,Code,Parent,Description,Cette catégorie comprend,Cette catégorie comprend aussi,Cette catégorie ne comprend pas,"Décisions de classement (""rulings"")",Cette catégorie comprend,Cette catégorie comprend aussi,Cette catégorie ne comprend pas
512728,6,65.12.35,65.12.3,Autres services d’assurance liés aux bateaux,"Cette sous-catégorie comprend:
- les services de souscription de polices d’assurance, autres que pour la responsabilité civile, couvrant les risques liés à l’utilisation:
  . de navires de passagers et de marchandises, naviguant en haute mer, dans les eaux côtières ou sur les voies navigables intérieures",,,,"This subcategory includes:
- underwriting services of insurance policies, other than for third part liability, which cover risks relating to the use of:
  . passenger and freight vessels, whether operating on oceans, coastal waterways or inland waterways",,
512729,6,65.12.36,65.12.3,Assurance du fret,"Cette sous-catégorie comprend:
- les services de souscription de polices d’assurance prévoyant la couverture des risques de sinistre et des dommages subis par les marchandises, en plus de celle souscrite par les entreprises de transport",,,,"This subcategory includes:
- underwriting services of insurance policies which provide coverage, additional to that provided by transport companies, for risks of damage to or loss of freight",,
512730,5,65.12.4,65.12,Assurance incendie et autres services d’assurance dommages,"Cette catégorie comprend:
- les services de souscription de polices d’assurance couvrant les risques de sinistre ou les dommages subis par les biens, à l’exclusion de ceux couverts dans les sous-catégories 65.12.2 (Assurance de véhicules automobiles) et 65.12.3 (Assurance maritime, assurance aérienne et assurance-transports)",,,,"This category includes:
- underwriting services of insurance policies which cover risks of damage to or loss of property excluding that covered in subcategory 65.12.2 (Motor vehicle insurance services), 65.12.3 (Marine, aviation, and other transport insurance services; Freight insurance services).",,
512731,6,65.12.41,65.12.4,Assurance incendie,,,,,,,
512732,6,65.12.49,65.12.4,Autres services d’assurance dommages,"Cette sous-catégorie comprend:
- les services de souscription de polices d’assurance couvrant les risques de sinistre ou les dommages subis par les biens, tels que le vol, l’explosion, la tempête, la grêle, le gel, les autres éléments naturels, la contamination radioactive et les affaissements de terrain
- l’assurance des générateurs et machines couvrant la détérioration de biens due au manque d’électricité, d’éclairage, de chaleur, de vapeur ou de réfrigération",,,,"This subcategory includes:
- underwriting services of insurance policies which cover risks of damage to or loss of property such as theft, explosion, storm, hail, frost, other natural forces, radioactive contamination and land subsidence
- boiler and machinery insurance, which covers property spoilage from lack of power, light, heat, steam or refrigeration",,
512733,5,65.12.5,65.12,Assurance responsabilité civile générale,,,,,,,
512734,6,65.12.50,65.12.5,Assurance responsabilité civile générale,"Cette sous-catégorie comprend:
- les services de souscription de polices d’assurance couvrant les risques de tous les types de responsabilité civile, y compris la responsabilité pour les produits défectueux, les lésions corporelles, les dommages aux biens, la pollution, la négligence professionnelle, etc., à l’exclusion de la responsabilité civile couverte dans les sous-catégories 65.12.21 (Assurance de véhicules automobiles, responsabilité civile), 65.12.3 (Assurance maritime, assurance aérienne et assurance-transports) et 65.12.4 (Assurance-incendie et autres services d’assurance-dommages)",,,,"This subcategory includes:
- underwriting services of insurance policies which cover risks of all types of liability including liability for defective products, bodily injury, property damage, pollution, malpractice, etc., other than liability covered in subcategory 65.12.21 (motor vehicle liability insurance services), 65.12.3 (marine, aviation and other transport liability insurance services) and 65.12.4 (property liability insurance services)",,
512735,5,65.12.6,65.12,Assurances crédit et caution,,,,,,,
512736,6,65.12.61,65.12.6,Assurance crédit,"Cette sous-catégorie comprend:
- les services de souscription de polices d’assurance couvrant les risques de pertes sur créance excessives du fait de l’insolvabilité du débiteur

Sont inclus les crédits à l’exportation, les ventes à tempérament, les crédits hypothécaires, les crédits agricoles, etc.",,,,"This subcategory includes:
- underwriting services of insurance policies which cover risks of excessive credit losses because of debtor insolvency

Included are export credits, instalment credits, mortgages, agricultural credits etc.",,
512737,6,65.12.62,65.12.6,Assurance caution,"Cette sous-catégorie comprend:
- les services de souscription de polices d’assurance couvrant les risques de non-exécution ou de non-respect d’une obligation financière contractuelle incombant à une partie à un contrat ou accord",,,,"This subcategory includes:
- underwriting services of insurance policies which cover risks of non-performance or failure to satisfy a contractual financial obligation by a party to a contract or agreement",,
512738,5,65.12.7,65.12,"Assurance voyages et assistance, assurance protection juridique et assurance contre les pertes financières diverses",,,,,,,
512739,6,65.12.71,65.12.7,Assurance voyages et assistance,"Cette sous-catégorie comprend:
- les services de souscription de polices d’assurance prévoyant la protection pour les frais liés aux voyages (généralement fournis dans un forfait), tels que:
  . l’annulation, l’interruption ou le retard du voyage
  . les bagages perdus, livrés en retard ou endommagés
  . les frais médicaux liés à un accident ou à des problèmes de santé
  . le rapatriement des dépouilles",,"Cette sous-catégorie ne comprend pas:
- les services d’assurance de véhicules automobiles, voir 65.12.2",,"This subcategory includes:
- underwriting services of insurance policies which provide protection for travel related expenses (typically provided in a package), such as:
  . trip cancellation, interruption or delay
  . lost, delayed or damaged luggage
  . accident and health medical expenses
  . repatriation of remains",,"This subcategory excludes:
- motor vehicle insurance services, 65.12.2"
512740,6,65.12.72,65.12.7,Assurance protection juridique,"Cette sous-catégorie comprend:
- les services de souscription de polices d’assurance couvrant les frais de protection juridique et les frais de justice",,,,"This subcategory includes:
- underwriting services of policies covering legal expenses and litigation costs",,
512741,6,65.12.73,65.12.7,Assurance contre les pertes financières diverses,"Cette sous-catégorie comprend:
- les services de souscription de polices d’assurance couvrant les risques de pertes financières diverses, c’est-à-dire les frais découlant des risques suivants: chômage, revenus insuffisants (général), intempéries, perte d’indemnités, persistance de frais généraux, dépenses commerciales imprévues, perte de la valeur vénale, perte de loyer ou de recettes, pertes commerciales indirectes (autres que celles mentionnées ci-dessus), autres pertes financières (non commerciales) et autres formes de pertes",,,,"This subcategory includes:
- underwriting services of insurance policies which cover risks of miscellaneous financial loss, that is, expenses arising from the following risks: loss of employment, insufficiency of income (general), bad weather, loss of benefits, continuing general expenses, unforeseen trading expenses, loss of market value, loss of rent or revenue, indirect trading losses (other than those mentioned above), other financial loss (non-trading) and other forms of loss",,
512742,5,65.12.9,65.12,Autres services d’assurances non-vie,,,,,,,
512743,6,65.12.90,65.12.9,Autres services d’assurances non-vie,"Cette sous-catégorie comprend:
- les services de souscription de polices d’assurance couvrant d’autres risques non-vie n.c.a.",,,,"This subcategory includes:
- underwriting services of insurance policies which cover other non-life risks n.e.c.",,
512744,3,65.2,65,Réassurance,,,,,,,
512745,4,65.20,65.2,Réassurance,,,,,,,
512746,5,65.20.1,65.20,"Réassurance vie, accidents et maladie",,,,,,,
512747,6,65.20.11,65.20.1,Réassurance vie,"Cette sous-catégorie comprend:
- la fourniture de services de réassurance pour l’assurance-vie
- la réassurance des contrats d’assurance de rente",,,,"This subcategory includes:
- providing reinsurance services for life insurance
- reinsurance of annuities",,
512748,6,65.20.12,65.20.1,Réassurance accidents,"Cette sous-catégorie comprend:
- la fourniture de services de réassurance pour l’assurance-accident
- la réassurance des contrats d’assurance de rente",,,,"This subcategory includes:
- providing reinsurance services for accident insurance
- reinsurance of annuities",,
512749,6,65.20.13,65.20.1,Réassurance maladie,"Cette sous-catégorie comprend:
- la fourniture de services de réassurance pour l’assurance-maladie
- la réassurance des contrats d’assurance de rente",,,,"This subcategory includes:
- providing reinsurance services for health insurance
- reinsurance of annuities",,
512750,5,65.20.2,65.20,Réassurance transports et dommages,,,,,,,
512751,6,65.20.21,65.20.2,"Réassurance automobile, responsabilité civile","Cette sous-catégorie comprend:
- la fourniture de services de réassurance pour les polices d’assurance de véhicules automobiles, responsabilité civile",,,,"This subcategory includes:
- providing reinsurance services for motor vehicle insurance policies, third party liability",,
512752,6,65.20.22,65.20.2,Autres services de réassurance automobile,"Cette sous-catégorie comprend:
- la fourniture de services de réassurance pour les polices d’assurance de véhicules automobiles, autres que responsabilité civile",,,,"This subcategory includes:
- providing reinsurance services for motor vehicle insurance policies, other than third party liability",,
512753,6,65.20.23,65.20.2,"Réassurance maritime, aérienne et autres transports","Cette sous-catégorie comprend:
- la fourniture de services de réassurance pour les polices d’assurance maritime, aérienne et d’autres transports",,,,"This subcategory includes:
- providing reinsurance services for marine, aviation and other transport insurance policies",,
512754,6,65.20.24,65.20.2,Réassurance fret,"Cette sous-catégorie comprend:
- la fourniture de services de réassurance pour l’assurance du fret",,,,"This subcategory includes:
- providing reinsurance services for freight insurance policies",,
512755,6,65.20.25,65.20.2,Réassurance incendie et autres dommages,,,,,,,
512756,5,65.20.3,65.20,Réassurance responsabilité civile générale et crédit et caution,,,,,,,
512757,6,65.20.31,65.20.3,Réassurance responsabilité civile générale,,,,,,,
512758,6,65.20.32,65.20.3,Réassurance crédit et caution,,,,,,,
512759,5,65.20.4,65.20,Réassurance protection juridique et pertes financières diverses,,,,,,,
512760,6,65.20.41,65.20.4,Réassurance protection juridique,,,,,,,
512761,6,65.20.42,65.20.4,Réassurance pertes financières diverses,,,,,,,
512762,5,65.20.5,65.20,Réassurance en matière de financement des retraites,,,,,,,
512763,6,65.20.50,65.20.5,Réassurance en matière de financement des retraites,,,,,,,
512764,5,65.20.6,65.20,Autres services de réassurances non-vie,,,,,,,
512765,6,65.20.60,65.20.6,Autres services de réassurances non-vie,,,,,,,
512766,3,65.3,65,Caisses de retraite,,,,,,,
512767,4,65.30,65.3,Caisses de retraite,,,,,,,
512768,5,65.30.1,65.30,Caisses de retraite,,,"Cette catégorie ne comprend pas:
- les services de fiducie, voir 66.19.31
- l’administration des caisses de retraite, voir 66.19.31
- la gestion des caisses de retraite, voir 66.30.12
- les services de gestion de portefeuilles, voir 66.30.11",,,,"This category excludes:
- trust services, see 66.19.31
- pension fund administration, see 66.29.19
- pension fund management services, see 66.30.12
- portfolio management services, see 66.30.11"
512769,6,65.30.11,65.30.1,Caisses de retraite à adhésion individuelle,"Cette sous-catégorie comprend:
- les services de souscription de contrats d’assurance de rente, c’est-à-dire de plans prévoyant le versement, à intervalles réguliers, d’un revenu à des individus

Ces plans peuvent exiger une contribution unique ou une série de contributions; ils peuvent être obligatoires ou facultatifs; ils peuvent prévoir des prestations nominales déterminées à l’avance ou dépendantes de la valeur sur le marché des actifs sous-tendant le plan; s’ils sont liés à l’emploi, ils peuvent être transférables ou non en cas de changement d’emploi. La période durant laquelle les prestations sont versées peut être fixée en termes de durée minimale ou maximale; il peut y avoir ou non des prestations de réversion.",,,,"This subcategory includes:
- underwriting services of annuities, i.e. plans which provide income payments at regular intervals to individuals 

Plans may require a single contribution or a series of contributions; may be compulsory or optional; may have nominal benefits determined in advance or dependent on the market value of assets supporting the plan; and, if related to employment, may or may not be portable with a change in employment. The duration of the period during which benefits are paid may be fixed in terms of a minimum or maximum; there may or may not be survivors' benefits.",,
512770,6,65.30.12,65.30.1,Caisses de retraite à adhésion collective,"Cette sous-catégorie comprend:
- les services de souscription de plans prévoyant le versement, à intervalles réguliers, de revenus aux membres de groupes

Ces plans peuvent exiger une contribution unique ou une série de contributions; ils peuvent être obligatoires ou facultatifs; ils peuvent prévoir des prestations nominales déterminées à l’avance ou dépendantes de la valeur sur le marché des actifs sous-tendant le plan; s’ils sont liés à l’emploi, ils peuvent être transférables ou non en cas de changement d’emploi. La période durant laquelle les prestations sont versées peut être fixée en termes de durée minimum ou maximum; il peut y avoir ou non des prestations de réversion.",,,,"This subcategory includes:
- underwriting services of plans which provide income payments at regular intervals to members of groups

Plans may require a single contribution or a series of contributions; may be compulsory or optional; may have nominal benefits determined in advance or dependent on the market value of assets supporting the plan; and, if related to employment, may or may not be portable with a change in employment. The duration of the period during which benefits are paid may be fixed in terms of a minimum or maximum; there may or may not be survivors' benefits.",,
512771,2,66,K,Services auxiliaires aux services financiers et aux assurances,,,,,,,
512772,3,66.1,66,"Services auxiliaires aux services financiers, hors assurances et caisses de retraite",,,,,,,
512773,4,66.11,66.1,Services liés à l’administration de marchés financiers,,,,,,,
512774,5,66.11.1,66.11,Services liés à l’administration de marchés financiers,,,,,,,
512775,6,66.11.11,66.11.1,Services opérationnels des marchés financiers,"Cette sous-catégorie comprend:
- les services administratifs consistant à fournir des locaux et d’autres équipements nécessaires à l’exploitation de bourses de valeurs et de marchandises",,,,"This subcategory includes:
- administrative services consisting in furnishing space and other facilities necessary for the operation of security and commodity exchanges",,
512776,6,66.11.12,66.11.1,Services réglementaires des marchés financiers,"Cette sous-catégorie comprend:
- les services de réglementation et de surveillance des marchés financiers et des participants à ces marchés",,,,"This subcategory includes:
- services of regulating and monitoring financial markets and participants in those markets",,
512777,6,66.11.19,66.11.1,Autres services liés à l’administration de marchés financiers,,,"Cette sous-catégorie ne comprend pas:
- la fourniture d’informations financières aux médias, voir 63.91.1
- les services de garde de valeurs mobilières, voir 66.19.32",,,,"This subcategory excludes:
- supply of financial news to the news media, see 63.91.1
- security custody services, see 66.19.32"
512778,4,66.12,66.1,Services de courtage de valeurs mobilières et de marchandises,,,,,,,
512779,5,66.12.1,66.12,Services de courtage de valeurs mobilières et de marchandises,,,"Cette catégorie ne comprend pas:
- les services de gestion de portefeuilles pour le compte de tiers, voir 66.30.11",,,,"This category excludes:
- portfolio management services, on a fee or contract basis, see 66.30.11"
512780,6,66.12.11,66.12.1,Services de courtage de valeurs mobilières,"Cette sous-catégorie comprend:
- les services de courtage de valeurs mobilières (mise en contact des acheteurs et vendeurs d’un même instrument)
- les services d’agent de placement pour les unités, parts et autres intérêts détenus dans un fonds commun (de placement)
- les services de vente, de livraison et de rachat d’obligations d’État
- le courtage d’options",,,,"This subcategory includes:
- brokerage services (that is bringing together purchasers and sellers of the same instrument) for securities
- services of acting as a selling agent of units, shares or other interests in a mutual (investment) fund
- sales, delivery and redemption services of government bonds
- brokerage options",,
512781,6,66.12.12,66.12.1,Services de courtage de marchandises,"Cette sous-catégorie comprend:
- les services de courtage de marchandises et de contrats à terme de marchandises, y compris les contrats à terme d’instruments financiers
- le courtage d’instruments financiers dérivés autres que les options",,"Cette sous-catégorie ne comprend pas:
- le courtage d’options, voir 66.12.11",,"This subcategory includes:
- brokerage services for commodities and commodity futures including financial futures
- brokerage financial derivatives, other than options",,"This subcategory excludes:
- brokerage of options, see 66.12.11"
512782,6,66.12.13,66.12.1,Services de change de devises,"Cette sous-catégorie comprend:
- les services de change de devises fournis par des bureaux de change, etc.",,,,"This subcategory includes:
- foreign currency exchange services provided by bureaux de change, etc.",,
512783,4,66.19,66.1,"Autres services auxiliaires aux services financiers, hors assurances et caisses de retraite",,,,,,,
512784,5,66.19.1,66.19,Services de traitement et compensation des opérations sur valeurs immobilières,,,,,,,
512785,6,66.19.10,66.19.1,Services de traitement et compensation des opérations sur valeurs immobilières,"Cette sous-catégorie comprend:
- la compensation et le règlement informatisés pour les échanges de débits et de crédits et le transfert de propriété de valeurs mobilières",,,,"This subcategory includes:
- computer-based clearing and settlement for interchange of debits, credits and transfer of ownership of securities",,
512786,5,66.19.2,66.19,Services auxiliaires liés aux banques d’investissement,,,,,,,
512787,6,66.19.21,66.19.2,Services de fusions et acquisitions,"Cette sous-catégorie comprend:
- les services de conseillers et de négociateurs pour les fusions et acquisitions",,,,"This subcategory includes:
- services of counsellors and negotiators in arranging mergers and acquisitions",,
512788,6,66.19.22,66.19.2,Services de financement des entreprises et de capital-risque,"Cette sous-catégorie comprend:
- les services de financement des entreprises, y compris le financement par emprunt, par fonds propres et par capital-risque
- les services de financement par capital-risque",,,,"This subcategory includes:
- services of arranging corporate financing including debt, equity and venture capital financing
- venture capital financing services",,
512789,6,66.19.29,66.19.2,Autres services auxiliaires liés aux banques d’investissement,,,"Cette sous-catégorie ne comprend pas:
- les services de cotation des prix des actions fournis via un serveur d’informations, voir 58.19.29
- la fourniture d’informations financières aux médias, voir 63.91.1
- les services de fiducie et de garde, voir 66.19.3
- les services de gestion de portefeuilles, voir 66.30.11",,,,"This subcategory excludes:
- stock price quotation services made available through an information server, see 58.19.29
- supply of financial news to the news media, see 63.91.1
- trust and custody services, see 66.19.3
- portfolio management services, see 66.30.11"
512790,5,66.19.3,66.19,Services de fiducie et de garde,,,,,,,
512791,6,66.19.31,66.19.3,Services de fiducie,"Cette sous-catégorie comprend:
- les services de gestion et d’administration de patrimoines et de fiducies
- les services d’agent fiduciaire de fonds de placement ou de fonds de pension
- les services d’agent fiduciaire pour les valeurs mobilières (services administratifs liés à l’émission et à l’enregistrement des valeurs mobilières et au paiement des intérêts et dividendes)",,"Cette sous-catégorie ne comprend pas:
- les services de gestion de fonds, voir 66.30.1",,"This subcategory includes:
- estate and trust management and administration services
- services of acting as a trustee of investment funds or pension funds
- services of acting as trustee for securities (administrative services related to the issue and registration of securities, and payment of interest and dividends)",,"This subcategory excludes:
- fund management services, see 66.30.1"
512792,6,66.19.32,66.19.3,Services de garde,"Cette sous-catégorie comprend:
- les services de garde et de prise en compte, selon instructions, de biens personnels de valeur et généralement générateurs de revenus, y compris les valeurs mobilières
- les services de garde
- les services de dépôts en coffre-fort
- les services de garde de valeurs mobilières
- les services de confirmation d’audit concernant les valeurs mobilières des clients prises en garde",,,,"This subcategory includes:
- under instructions, provides the services of the safekeeping of and accounting for valuable and usually income-bearing personal property, including securities
- safekeeping services
- safe deposit services
- security custody services
- audit confirmation services with respect to customers' securities held for safekeeping",,
512793,5,66.19.9,66.19,"Autres services auxiliaires aux services financiers, hors assurances et caisses de retraite, n.c.a.",,,,,,,
512794,6,66.19.91,66.19.9,Services de conseil financier,"Cette sous-catégorie comprend:
- les services de conseil financier
- l’analyse du marché et l'information sur celui ci",,"Cette sous-catégorie ne comprend pas:
- les services de fusions et d’acquisitions, voir 66.19.21
- les services de financement des entreprises et de capital risque, voir 66.19.22
- les services de fiducie et de garde, voir 66.19.3
- les services de conseil en assurances et pensions, voir 66.29.19
- les services de gestion de portefeuilles, voir 66.30.11
- les services de conseil fiscal, voir 69.20.3
- les services de conseil en gestion financière (à l’exclusion de l’impôt sur les personnes morales), voir 70.22.12",,"This subcategory includes:
- financial advisory services
- market analysis and intelligence",,"This subcategory excludes:
- mergers and acquisitions services, see 66.19.21
- corporate finance and venture capital services, see 66.19.22
- trust and custody services, see 66.19.3
- insurance and pension consultancy services, see 66.29.19
- portfolio management services, see 66.30.11
- advisory services on taxation matters, see 69.20.3
- financial management consulting services (except business tax), see 70.22.12"
512795,6,66.19.92,66.19.9,Services de traitement et compensation de transactions financières,"Cette sous-catégorie comprend:
- les services de traitement de transactions financières, tels que la vérification des bilans financiers, l’autorisation des transactions, le transfert de fonds vers et depuis les comptes des opérateurs, la notification aux banques (ou aux émetteurs de cartes de crédit) des différentes transactions et la fourniture de récapitulatifs quotidiens
- les services de compensation de chèques, de traites et d’autres ordres de paiement
- les services marchands de cartes de débit",,"Cette sous-catégorie ne comprend pas:
- les services de traitement d’opérations sur valeurs mobilières, voir 66.19.10",,"This subcategory includes:
- services of processing financial transactions such as verification of financial balances, authorisation of transactions, transfer of funds to and from transactors' accounts, notification of banks (or credit card issuers) of individual transactions and provision of daily summaries
- services of clearing cheques, drafts and other payment orders
- debit card merchant services",,"This subcategory excludes:
- services of processing securities transactions, see 66.19.10"
512796,6,66.19.99,66.19.9,"Autres services auxiliaires aux services financiers n.c.a., à l’exclusion des assurances et des caisses de retraite","Cette sous-catégorie comprend:
- les services de courtage en hypothèques et en prêts",,"Cette sous-catégorie ne comprend pas:
- les services d’emballage de pièces et billets, voir 82.92.10",,"This subcategory includes:
- mortgage and loan brokerage services",,"This subcategory excludes:
- coin and currency packing services, see 82.92.10"
512797,3,66.2,66,Services auxiliaires des assurances et caisses de retraite,,,,,,,
512798,4,66.21,66.2,Services d’évaluation des risques et dommages,,,,,,,
512799,5,66.21.1,66.21,Services d’évaluation des risques et dommages,,,,,,,
512800,6,66.21.10,66.21.1,Services d’évaluation des risques et dommages,"Cette sous-catégorie comprend:
- les services d’évaluation des demandes d’indemnisation, de détermination du montant des sinistres ou dommages couverts par les polices d’assurance et de négociation du règlement
- les services d’examen des demandes d’indemnisation évaluées et d’autorisation de paiement
- les services d’expertise des dommages",,,,"This subcategory includes:
- services of investigating insurance claims, determining the amount of loss or damages covered by insurance policies and negotiating settlement
- services of examining claims which have been investigated and authorisation of payments
- damage assessment services",,
512801,4,66.22,66.2,Services des agents et courtiers d’assurances,,,,,,,
512802,5,66.22.1,66.22,Services des agents et courtiers d’assurances,,,,,,,
512803,6,66.22.10,66.22.1,Services des agents et courtiers d’assurances,"Cette sous-catégorie comprend:
- les services de vente, de négociation ou de démarchage de contrats d’assurance de rente et de polices de réassurance",,,,"This subcategory includes:
- services of selling, negotiating or soliciting of annuities and reinsurance policies",,
512804,4,66.29,66.2,Autres services auxiliaires des assurances et caisses de retraite,,,,,,,
512805,5,66.29.1,66.29,Autres services auxiliaires des assurances et caisses de retraite,,,,,,,
512806,6,66.29.11,66.29.1,Services actuariels,"Cette sous-catégorie comprend:
- les services de calcul des risques et primes d’assurance",,,,"This subcategory includes:
- services of calculating insurance risks and premiums",,
512807,6,66.29.19,66.29.1,Autres services auxiliaires des assurances et caisses de retraite n.c.a.,"Cette sous-catégorie comprend:
- l’administration des fonds d’assurance et de retraite
- les services d’administration des sauvetages
- les services de conseil en assurances et pensions",,,,"This subcategory includes:
- administration of insurance and pension funds
- salvage administration services
- insurance and pension consultancy services",,
512808,3,66.3,66,Services de gestion de fonds,,,,,,,
512809,4,66.30,66.3,Services de gestion de fonds,,,,,,,
512810,5,66.30.1,66.30,Services de gestion de fonds,,,,,,,
512811,6,66.30.11,66.30.1,"Services de gestion de portefeuilles, à l’exclusion des fonds de pension","Cette sous-catégorie comprend:
- la gestion des actifs des portefeuilles de particuliers, d’entreprises et autres, pour le compte de tiers, à l’exception des fonds de pension

Les gestionnaires décident des placements à acheter ou vendre. Parmi les exemples de portefeuilles gérés figurent les portefeuilles de fonds communs de placement et d’autres fonds d’investissement ou fiducies.",,"Cette sous-catégorie ne comprend pas:
- l’achat et la vente de valeurs mobilières pour le compte de tiers, voir 66.12.11
- les services de conseil en planification financière sans prise de décision au nom du client, voir 66.19.91
- la gestion des fonds de pension, voir 66.30.12",,"This subcategory includes:
- managing portfolio assets of individuals, businesses and others, on a fee or commission basis, except for pension funds

Managers make decisions on which investments to purchase or sell. Examples of the portfolios managed are the portfolios of mutual and other investment funds or trusts.",,"This subcategory excludes:
- the buying and selling of securities on a transaction fee basis, see 66.12.11
- advisory services on personal financial planning not involving decision-making on behalf of clients, see 66.19.91
- pension fund management services, see 66.30.12"
512812,6,66.30.12,66.30.1,Services de gestion des fonds de pension,,,,,,,
512813,1,L,,SERVICES IMMOBILIERS,,,,,,,
512814,2,68,L,Services immobiliers,,,,,,,
512815,3,68.1,68,Transactions sur biens immobiliers propres,,,,,,,
512816,4,68.10,68.1,Transactions sur biens immobiliers propres,,,,,,,
512817,5,68.10.1,68.10,Transactions sur biens immobiliers propres,,,,,,,
512818,6,68.10.11,68.10.1,Transactions sur bâtiments résidentiels et terrains associés,"Cette sous-catégorie comprend:
- les ventes pour compte propre de bâtiments résidentiels et de terrains associés, pour autant que ces ventes soient traitées par le vendeur, non pas comme des cessions d’actifs fixes, mais comme des ventes de stocks commerciaux
- les ventes de maisons avec le terrain associé, les immeubles résidentiels avec le terrain associé et les unités d’habitation individuelles qu’ils contiennent, comme par exemple les appartements. Les biens en question peuvent être libres ou loués à bail.",,"Cette sous-catégorie ne comprend pas:
- les ventes de biens résidentiels construits par le vendeur, voir 41.00.10
- les ventes de terrains à bâtir libres, voir 68.10.13",,"This subcategory includes:
- sales on own account of residential buildings and associated land in cases where the sales are treated as sales of trading stock by the seller, but not sales of property where the sales are disposals of the fixed assets of the selling unit
- sales of houses with associated land, multiple-dwelling buildings with associated land and individual dwelling units within such buildings, such as individual apartments or condominiums. Such property can be either leasehold or freehold.",,"This subcategory excludes:
- sales of residential property constructed by the selling unit, see 41.00.10
- sales of residential vacant land, see 68.10.13"
512819,6,68.10.12,68.10.1,Transactions sur biens immobiliers en multipropriété,"Cette sous-catégorie comprend:
- les ventes pour compte propre de biens immobiliers en multipropriété",,,,"This subcategory includes:
- sales on own account of time share properties",,
512820,6,68.10.13,68.10.1,Transactions sur terrains à bâtir,"Cette sous-catégorie comprend:
- ventes pour compte propre de terrains à bâtir libres, pour autant que ces ventes soient traitées par le vendeur comme des ventes de stocks commerciaux. Ces terrains libres peuvent être lotis.","Cette sous-catégorie comprend également:
- la création de lotissements, sans amélioration foncière","Cette sous-catégorie ne comprend pas:
- la création de lotissements avec amélioration foncière, voir 42.99.29",,"This subcategory includes:
- sales on own account of vacant residential land in cases where the sales are treated as sales of trading stock by the seller. Such vacant land can include subdivided vacant land.","This subcategory also includes:
- subdividing real estate into lots, without land improvement","This subcategory excludes:
- subdividing and improving of land, see 42.99.29"
512821,6,68.10.14,68.10.1,Transactions sur constructions non résidentielles et terrains associés,"Cette sous-catégorie comprend:
- les ventes pour compte propre de bâtiments non résidentiels et de terrains associés non constructibles, pour autant que ces ventes soient traitées par le vendeur, non pas comme des cessions d’actifs fixes, mais comme des ventes de stocks commerciaux.

Il s’agit notamment:
  . d’usines, d’immeubles de bureaux, d’entrepôts
  . de théâtres et d’immeubles polyvalents non affectés en principal à l’habitation
  . de terres agricoles, de forêts
  . de biens similaires",,"Cette sous-catégorie ne comprend pas:
- les ventes de biens non résidentiels construits par le vendeur, voir 41.00.20
- les vente de terrains libres non constructibles, voir 68.10.15",,"This subcategory includes:
- sales on own account of non-residential buildings and associated land in cases where the sales are treated as sales of trading stock by the seller, but not sales of property where the sales are disposals of the fixed assets of the selling unit. 

Examples of non-residential properties include:
  . factories, office buildings, warehouses
  . theatres, multiple-use buildings that are primarily non-residential
  . agriculture, forestry properties
  . similar properties",,"This subcategory excludes:
- sales of non-residential property constructed by the selling unit, see 41.00.20
- sales of non-residential vacant land, see 68.10.15"
512822,6,68.10.15,68.10.1,Transactions sur terrains non constructibles,"Cette sous-catégorie comprend:
- les ventes pour compte propre de terrains libres non constructibles, pour autant que ces ventes soient traitées par le vendeur comme des ventes de stocks commerciaux. Ces terrains libres peuvent être lotis.","Cette sous-catégorie comprend également:
- la création de lotissements, sans amélioration foncière","Cette sous-catégorie ne comprend pas:
- la création de lotissements avec amélioration foncière, voir 42.99.29",,"This subcategory includes:
- sales on own account of vacant non-residential land in cases where the sales are treated as sales of trading stock by the seller. Such vacant land can include subdivided vacant land.","This subcategory also includes:
- subdividing real estate into lots, without land improvement","This subcategory excludes:
- subdividing and improving of land, see 42.99.29"
512823,3,68.2,68,Services de location et exploitation de biens immobiliers propres ou loués,,,,,,,
512824,4,68.20,68.2,Services de location et exploitation de biens immobiliers propres ou loués,,,,,,,
512825,5,68.20.1,68.20,Services de location et exploitation de biens immobiliers propres ou loués,,,,,,,
512826,6,68.20.11,68.20.1,Services de location et exploitation de biens immobiliers résidentiels propres ou loués,"Cette sous-catégorie comprend:
- les services de location et d’exploitation de logements par leur propriétaire ou leur locataire principal:
  . maisons, appartements, immeubles à appartements
  . immeubles polyvalents affectés en principal à l’habitation
  . emplacements pour caravanes résidentielles
  . locaux appartenant à des propriétaires en multipropriété",,"Cette sous-catégorie ne comprend pas:
- les services d’hébergement fournis par les hôtels, motels, meublés, internats, terrains de camping et autres lieux d’hébergement, voir division 55",,"This subcategory includes:
- rental and operating services concerning residential real estate by owners or leaseholders:
  . houses, flats, apartment buildings
  . multiple-use buildings that are primarily residential
  . residential mobile home sites
  . space owned by time-share owners",,"This subcategory excludes:
- accommodation services provided by operating hotels, motels, rooming houses, school dormitories, camp sites and other lodging places, see division 55"
